date,month,quarter,year,department,daily_cost,sessions,tokens_used,monthly_budget,cumulative_monthly_cost,budget_used_pct
2024-10-11,2024-10,Q4 2024,2024,Engineering,12.6694,23,3878635,400,180.0834,45.02
2024-10-12,2024-10,Q4 2024,2024,Engineering,8.2166,9,1767678,400,188.3,47.08
2024-10-14,2024-10,Q4 2024,2024,Engineering,18.5665,29,5097505,400,206.8665,51.72
2024-10-15,2024-10,Q4 2024,2024,Engineering,9.3234,23,3968677,400,216.1899,54.05
2024-10-16,2024-10,Q4 2024,2024,Engineering,19.8296,36,6317710,400,236.0195,59.0
2024-10-17,2024-10,Q4 2024,2024,Engineering,24.3532,26,5379688,400,260.3727,65.09
2024-10-18,2024-10,Q4 2024,2024,Engineering,19.8527,21,4276036,400,280.2254,70.06
2024-10-21,2024-10,Q4 2024,2024,Engineering,19.5203,30,6221059,400,299.7457,74.94
2024-10-22,2024-10,Q4 2024,2024,Engineering,9.6219,20,3917494,400,309.3676,77.34
2024-10-23,2024-10,Q4 2024,2024,Engineering,17.1188,19,3779735,400,326.4864,81.62
2024-10-24,2024-10,Q4 2024,2024,Engineering,22.3628,21,5268246,400,348.8492,87.21
2024-10-25,2024-10,Q4 2024,2024,Engineering,13.2667,19,3416250,400,362.1159,90.53
2024-10-28,2024-10,Q4 2024,2024,Engineering,11.8347,12,3631020,400,373.9506,93.49
2024-10-29,2024-10,Q4 2024,2024,Engineering,18.2411,31,5018439,400,392.1917,98.05
2024-10-30,2024-10,Q4 2024,2024,Engineering,29.1529,28,6179160,400,421.3446,105.34
2024-10-31,2024-10,Q4 2024,2024,Engineering,17.9036,25,3943315,400,439.2482,109.81
2024-11-01,2024-11,Q4 2024,2024,Engineering,28.8897,32,6784065,400,28.8897,7.22
2024-11-02,2024-11,Q4 2024,2024,Engineering,5.9867,5,937404,400,34.8764,8.72
2024-11-04,2024-11,Q4 2024,2024,Engineering,18.0346,22,5327068,400,52.911,13.23
2024-11-05,2024-11,Q4 2024,2024,Engineering,26.5539,19,4440707,400,79.4649,19.87
2024-11-06,2024-11,Q4 2024,2024,Engineering,25.176,26,4911917,400,104.6409,26.16
2024-11-07,2024-11,Q4 2024,2024,Engineering,17.7636,16,3259449,400,122.4045,30.6
2024-11-08,2024-11,Q4 2024,2024,Engineering,25.0166,33,6535681,400,147.4211,36.86
2024-11-09,2024-11,Q4 2024,2024,Engineering,2.9673,7,1277885,400,150.3884,37.6
2024-11-10,2024-11,Q4 2024,2024,Engineering,0.9832,4,700509,400,151.3716,37.84
2024-11-11,2024-11,Q4 2024,2024,Engineering,12.1685,24,2970251,400,163.5401,40.89
2024-11-12,2024-11,Q4 2024,2024,Engineering,34.4127,31,7621707,400,197.9528,49.49
2024-11-13,2024-11,Q4 2024,2024,Engineering,29.3146,44,8472271,400,227.2674,56.82
2024-11-14,2024-11,Q4 2024,2024,Engineering,28.2752,29,5847266,400,255.5426,63.89
2024-11-15,2024-11,Q4 2024,2024,Engineering,26.8085,26,4950172,400,282.3511,70.59
2024-11-16,2024-11,Q4 2024,2024,Engineering,0.4723,2,257629,400,282.8234,70.71
2024-11-17,2024-11,Q4 2024,2024,Engineering,8.8139,14,2123402,400,291.6373,72.91
2024-11-18,2024-11,Q4 2024,2024,Engineering,19.8833,35,5520020,400,311.5206,77.88
2024-11-19,2024-11,Q4 2024,2024,Engineering,20.3073,33,5248172,400,331.8279,82.96
2024-11-20,2024-11,Q4 2024,2024,Engineering,9.5527,16,2550417,400,341.3806,85.35
2024-11-21,2024-11,Q4 2024,2024,Engineering,56.4601,40,10747043,400,397.8407,99.46
2024-11-22,2024-11,Q4 2024,2024,Engineering,30.6349,34,6844935,400,428.4756,107.12
2024-11-25,2024-11,Q4 2024,2024,Engineering,26.6881,37,8820676,400,455.1637,113.79
2024-11-26,2024-11,Q4 2024,2024,Engineering,28.8531,30,6104890,400,484.0168,121.0
2024-11-27,2024-11,Q4 2024,2024,Engineering,21.9278,31,6363622,400,505.9446,126.49
2024-11-28,2024-11,Q4 2024,2024,Engineering,22.283,25,4814385,400,528.2276,132.06
2024-11-29,2024-11,Q4 2024,2024,Engineering,26.0368,31,6697636,400,554.2644,138.57
2024-11-30,2024-11,Q4 2024,2024,Engineering,1.1596,1,141160,400,555.424,138.86
2024-12-02,2024-12,Q4 2024,2024,Engineering,41.5203,36,9798257,400,41.5203,10.38
2024-12-03,2024-12,Q4 2024,2024,Engineering,19.4111,37,6668891,400,60.9314,15.23
2024-12-04,2024-12,Q4 2024,2024,Engineering,47.0168,42,10013467,400,107.9482,26.99
2024-12-05,2024-12,Q4 2024,2024,Engineering,19.7069,34,8920119,400,127.6551,31.91
2024-12-06,2024-12,Q4 2024,2024,Engineering,51.4024,43,9619427,400,179.0575,44.76
2024-12-07,2024-12,Q4 2024,2024,Engineering,6.7706,4,914506,400,185.8281,46.46
2024-12-08,2024-12,Q4 2024,2024,Engineering,7.0721,9,1796293,400,192.9002,48.23
2024-12-09,2024-12,Q4 2024,2024,Engineering,38.4515,36,6942612,400,231.3517,57.84
2024-12-10,2024-12,Q4 2024,2024,Engineering,35.6967,41,8848088,400,267.0484,66.76
2024-12-11,2024-12,Q4 2024,2024,Engineering,25.8594,23,5036188,400,292.9078,73.23
2024-12-12,2024-12,Q4 2024,2024,Engineering,18.3662,34,7296795,400,311.274,77.82
2024-12-13,2024-12,Q4 2024,2024,Engineering,38.7425,31,7704719,400,350.0165,87.5
2024-12-14,2024-12,Q4 2024,2024,Engineering,3.8904,3,1330547,400,353.9069,88.48
2024-12-15,2024-12,Q4 2024,2024,Engineering,1.9914,4,1032903,400,355.8983,88.97
2024-12-16,2024-12,Q4 2024,2024,Engineering,52.128,43,9210899,400,408.0263,102.01
2024-12-17,2024-12,Q4 2024,2024,Engineering,48.4094,40,9290121,400,456.4357,114.11
2024-12-18,2024-12,Q4 2024,2024,Engineering,54.6207,36,8509136,400,511.0564,127.76
2024-12-19,2024-12,Q4 2024,2024,Engineering,36.641,37,7945857,400,547.6974,136.92
2024-12-20,2024-12,Q4 2024,2024,Engineering,35.4992,27,6428463,400,583.1966,145.8
2024-12-21,2024-12,Q4 2024,2024,Engineering,0.8103,2,220517,400,584.0069,146.0
2024-12-22,2024-12,Q4 2024,2024,Engineering,1.071,2,228906,400,585.0779,146.27
2024-12-23,2024-12,Q4 2024,2024,Engineering,28.8169,36,6723123,400,613.8948,153.47
2024-12-24,2024-12,Q4 2024,2024,Engineering,57.4684,40,8607979,400,671.3632,167.84
2024-12-25,2024-12,Q4 2024,2024,Engineering,70.9816,33,6987637,400,742.3448,185.59
2024-12-26,2024-12,Q4 2024,2024,Engineering,87.3441,36,8799180,400,829.6889,207.42
2024-12-27,2024-12,Q4 2024,2024,Engineering,32.7685,25,4585376,400,862.4574,215.61
2024-12-28,2024-12,Q4 2024,2024,Engineering,3.7987,13,1982571,400,866.2561,216.56
2024-12-29,2024-12,Q4 2024,2024,Engineering,27.5093,13,3819493,400,893.7654,223.44
2024-12-30,2024-12,Q4 2024,2024,Engineering,42.912,34,8000813,400,936.6774,234.17
2024-12-31,2024-12,Q4 2024,2024,Engineering,60.878,39,9792166,400,997.5554,249.39
2025-01-01,2025-01,Q1 2025,2025,Engineering,67.91,45,12285271,400,67.91,16.98
2025-01-02,2025-01,Q1 2025,2025,Engineering,26.4839,30,7136228,400,94.3939,23.6
2025-01-03,2025-01,Q1 2025,2025,Engineering,66.4325,31,9332958,400,160.8264,40.21
2025-01-04,2025-01,Q1 2025,2025,Engineering,33.1687,4,1607996,400,193.9951,48.5
2025-01-05,2025-01,Q1 2025,2025,Engineering,9.4655,9,2009242,400,203.4606,50.87
2025-01-06,2025-01,Q1 2025,2025,Engineering,74.7483,37,7761060,400,278.2089,69.55
2025-01-07,2025-01,Q1 2025,2025,Engineering,51.3484,44,8869281,400,329.5573,82.39
2025-01-08,2025-01,Q1 2025,2025,Engineering,47.4607,41,10270417,400,377.018,94.25
2025-01-09,2025-01,Q1 2025,2025,Engineering,50.0392,42,10566533,400,427.0572,106.76
2025-01-10,2025-01,Q1 2025,2025,Engineering,50.2083,32,7908379,400,477.2655,119.32
2025-01-11,2025-01,Q1 2025,2025,Engineering,8.8425,3,1577187,400,486.108,121.53
2025-01-12,2025-01,Q1 2025,2025,Engineering,15.1687,14,3178785,400,501.2767,125.32
2025-01-13,2025-01,Q1 2025,2025,Engineering,26.5995,34,7360137,400,527.8762,131.97
2025-01-14,2025-01,Q1 2025,2025,Engineering,105.131,43,11194389,400,633.0072,158.25
2025-01-15,2025-01,Q1 2025,2025,Engineering,61.4931,53,12556541,400,694.5003,173.63
2025-01-16,2025-01,Q1 2025,2025,Engineering,55.5078,37,8919304,400,750.0081,187.5
2025-01-17,2025-01,Q1 2025,2025,Engineering,44.8836,37,8475881,400,794.8917,198.72
2025-01-19,2025-01,Q1 2025,2025,Engineering,9.6721,5,2384279,400,804.5638,201.14
2025-01-20,2025-01,Q1 2025,2025,Engineering,26.3096,25,6914786,400,830.8734,207.72
2025-01-21,2025-01,Q1 2025,2025,Engineering,34.4927,33,7022820,400,865.3661,216.34
2025-01-22,2025-01,Q1 2025,2025,Engineering,60.0987,42,9534137,400,925.4648,231.37
2025-01-23,2025-01,Q1 2025,2025,Engineering,56.2044,48,9641600,400,981.6692,245.42
2025-01-24,2025-01,Q1 2025,2025,Engineering,43.0802,37,8470322,400,1024.7494,256.19
2025-01-25,2025-01,Q1 2025,2025,Engineering,4.1198,3,553704,400,1028.8692,257.22
2025-01-27,2025-01,Q1 2025,2025,Engineering,47.0321,44,9614378,400,1075.9013,268.98
2025-01-28,2025-01,Q1 2025,2025,Engineering,62.4542,45,10401979,400,1138.3555,284.59
2025-01-29,2025-01,Q1 2025,2025,Engineering,27.5966,35,8305642,400,1165.9521,291.49
2025-01-30,2025-01,Q1 2025,2025,Engineering,46.6531,36,7795820,400,1212.6052,303.15
2025-01-31,2025-01,Q1 2025,2025,Engineering,23.486,18,6142070,400,1236.0912,309.02
2025-02-03,2025-02,Q1 2025,2025,Engineering,66.8292,47,10905604,400,66.8292,16.71
2025-02-04,2025-02,Q1 2025,2025,Engineering,34.8321,44,10908321,400,101.6613,25.42
2025-02-05,2025-02,Q1 2025,2025,Engineering,76.3353,45,13127994,400,177.9966,44.5
2025-02-06,2025-02,Q1 2025,2025,Engineering,80.3742,46,9530346,400,258.3708,64.59
2025-02-07,2025-02,Q1 2025,2025,Engineering,95.503,53,15317907,400,353.8738,88.47
2025-02-09,2025-02,Q1 2025,2025,Engineering,4.2962,6,1989179,400,358.17,89.54
2025-02-10,2025-02,Q1 2025,2025,Engineering,72.3639,46,12623706,400,430.5339,107.63
2025-02-11,2025-02,Q1 2025,2025,Engineering,85.0926,42,11747549,400,515.6265,128.91
2025-02-12,2025-02,Q1 2025,2025,Engineering,65.1127,42,12779436,400,580.7392,145.18
2025-02-13,2025-02,Q1 2025,2025,Engineering,130.0057,56,15684710,400,710.7449,177.69
