payroll_id,date,month,quarter,year,type,employee_id,department,role,employment_type,base_salary_annual,gross_monthly_pay,bonus,taxes_withheld,net_pay,currency,status
PAY-000015,2024-01-04,2024-01,Q1 2024,2024,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,337.2,3671.8,9122.94,USD,Processed
PAY-000016,2024-02-03,2024-02,Q1 2024,2024,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,2282.86,3423.81,11316.59,USD,Processed
PAY-000017,2024-03-04,2024-03,Q1 2024,2024,Payroll,EMP-0002,Legal,Compliance Officer,Part-time,149490.51,12457.54,2946.38,3308.13,12095.79,USD,Processed
PAY-000018,2024-04-03,2024-04,Q2 2024,2024,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,1423.95,3187.45,10694.04,USD,Processed
PAY-000019,2024-05-03,2024-05,Q2 2024,2024,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,1419.71,3449.29,10427.96,USD,Processed
PAY-000020,2024-06-02,2024-06,Q2 2024,2024,Payroll,EMP-0002,Legal,Compliance Officer,Contract,149490.51,12457.54,2291.69,2998.47,11750.76,USD,Processed
PAY-000021,2024-07-02,2024-07,Q3 2024,2024,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,2842.67,3059.97,12240.24,USD,Processed
PAY-000022,2024-08-01,2024-08,Q3 2024,2024,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,1667.44,3648.68,10476.3,USD,Processed
PAY-000023,2024-08-31,2024-08,Q3 2024,2024,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,965.65,3604.88,9818.31,USD,Processed
PAY-000024,2024-09-30,2024-09,Q3 2024,2024,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,795.61,3464.08,9789.07,USD,Processed
PAY-000025,2024-10-30,2024-10,Q4 2024,2024,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,1565.82,3014.44,11008.92,USD,Processed
PAY-000026,2024-11-29,2024-11,Q4 2024,2024,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,198.24,3352.73,9303.05,USD,Processed
PAY-000027,2024-12-29,2024-12,Q4 2024,2024,Payroll,EMP-0002,Legal,Compliance Officer,Full-time,149490.51,12457.54,472.28,3531.91,9397.91,USD,Processed
PAY-000028,2021-12-27,2021-12,Q4 2021,2021,Payroll,EMP-0003,HR,HRBP,Full-time,110535.1,9211.26,521.62,2667.79,7065.09,USD,Processed
PAY-000029,2022-01-26,2022-01,Q1 2022,2022,Payroll,EMP-0003,HR,HRBP,Full-time,110535.1,9211.26,1246.4,2265.82,8191.84,USD,Processed
PAY-000030,2022-02-25,2022-02,Q1 2022,2022,Payroll,EMP-0003,HR,HRBP,Full-time,110535.1,9211.26,1839.62,2043.1,9007.78,USD,Processed
PAY-000031,2022-03-27,2022-03,Q1 2022,2022,Payroll,EMP-0003,HR,HRBP,Full-time,110535.1,9211.26,1227.44,2438.97,7999.73,USD,Processed
PAY-000032,2022-04-26,2022-04,Q2 2022,2022,Payroll,EMP-0003,HR,HRBP,Full-time,110535.1,9211.26,231.23,2673.4,6769.09,USD,Processed
PAY-000033,2022-05-26,2022-05,Q2 2022,2022,Payroll,EMP-0003,HR,HRBP,Full-time,110535.1,9211.26,203.73,2374.39,7040.6,USD,Processed
PAY-000034,2022-06-25,2022-06,Q2 2022,2022,Payroll,EMP-0003,HR,HRBP,Contract,110535.1,9211.26,776.23,2198.87,7788.62,USD,Processed
PAY-000035,2022-07-25,2022-07,Q3 2022,2022,Payroll,EMP-0003,HR,HRBP,Full-time,110535.1,9211.26,1411.06,2120.91,8501.41,USD,Processed
PAY-000036,2022-08-24,2022-08,Q3 2022,2022,Payroll,EMP-0003,HR,HRBP,Full-time,110535.1,9211.26,539.15,2277.0,7473.41,USD,Processed
PAY-000037,2022-09-23,2022-09,Q3 2022,2022,Payroll,EMP-0003,HR,HRBP,Full-time,110535.1,9211.26,699.06,2244.74,7665.58,USD,Processed
PAY-000038,2022-10-23,2022-10,Q4 2022,2022,Payroll,EMP-0003,HR,HRBP,Full-time,110535.1,9211.26,1885.63,2512.61,8584.28,USD,Processed
PAY-000039,2022-11-22,2022-11,Q4 2022,2022,Payroll,EMP-0003,HR,HRBP,Full-time,110535.1,9211.26,1108.11,2354.03,7965.34,USD,Processed
PAY-000040,2022-12-22,2022-12,Q4 2022,2022,Payroll,EMP-0003,HR,HRBP,Full-time,110535.1,9211.26,2050.18,2065.64,9195.8,USD,Processed
PAY-000041,2020-11-24,2020-11,Q4 2020,2020,Payroll,EMP-0004,Operations,Scrum Master,Part-time,121944.9,10162.07,1742.27,2796.37,9107.97,USD,Processed
PAY-000042,2020-12-24,2020-12,Q4 2020,2020,Payroll,EMP-0004,Operations,Scrum Master,Contract,121944.9,10162.07,8.96,2995.22,7175.81,USD,Processed
PAY-000043,2021-01-23,2021-01,Q1 2021,2021,Payroll,EMP-0004,Operations,Scrum Master,Full-time,121944.9,10162.07,2119.82,2471.76,9810.13,USD,Processed
PAY-000044,2021-02-22,2021-02,Q1 2021,2021,Payroll,EMP-0004,Operations,Scrum Master,Full-time,121944.9,10162.07,394.72,2984.1,7572.69,USD,Processed
PAY-000045,2021-03-24,2021-03,Q1 2021,2021,Payroll,EMP-0004,Operations,Scrum Master,Full-time,121944.9,10162.07,440.17,2507.42,8094.82,USD,Processed
PAY-000046,2021-04-23,2021-04,Q2 2021,2021,Payroll,EMP-0004,Operations,Scrum Master,Full-time,121944.9,10162.07,867.44,2602.15,8427.36,USD,Processed
PAY-000047,2021-05-23,2021-05,Q2 2021,2021,Payroll,EMP-0004,Operations,Scrum Master,Full-time,121944.9,10162.07,305.51,2276.71,8190.87,USD,Processed
PAY-000048,2021-06-22,2021-06,Q2 2021,2021,Payroll,EMP-0004,Operations,Scrum Master,Full-time,121944.9,10162.07,1717.92,2895.89,8984.1,USD,Processed
PAY-000049,2021-07-22,2021-07,Q3 2021,2021,Payroll,EMP-0004,Operations,Scrum Master,Full-time,121944.9,10162.07,1536.2,2771.98,8926.29,USD,Processed
PAY-000050,2021-08-21,2021-08,Q3 2021,2021,Payroll,EMP-0004,Operations,Scrum Master,Full-time,121944.9,10162.07,251.28,2356.93,8056.42,USD,Processed
PAY-000051,2021-09-20,2021-09,Q3 2021,2021,Payroll,EMP-0004,Operations,Scrum Master,Full-time,121944.9,10162.07,1418.15,2826.94,8753.28,USD,Processed
PAY-000052,2021-10-20,2021-10,Q4 2021,2021,Payroll,EMP-0004,Operations,Scrum Master,Full-time,121944.9,10162.07,2296.46,2769.5,9689.03,USD,Processed
PAY-000053,2021-11-19,2021-11,Q4 2021,2021,Payroll,EMP-0004,Operations,Scrum Master,Part-time,121944.9,10162.07,815.73,2415.93,8561.87,USD,Processed
PAY-000054,2021-12-19,2021-12,Q4 2021,2021,Payroll,EMP-0004,Operations,Scrum Master,Contract,121944.9,10162.07,1508.68,2572.86,9097.89,USD,Processed
PAY-000055,2022-01-18,2022-01,Q1 2022,2022,Payroll,EMP-0004,Operations,Scrum Master,Contract,121944.9,10162.07,527.34,2393.21,8296.2,USD,Processed
PAY-000056,2022-02-17,2022-02,Q1 2022,2022,Payroll,EMP-0004,Operations,Scrum Master,Full-time,121944.9,10162.07,1855.61,2270.35,9747.33,USD,Processed
PAY-000057,2022-03-19,2022-03,Q1 2022,2022,Payroll,EMP-0004,Operations,Scrum Master,Full-time,121944.9,10162.07,768.58,2930.13,8000.52,USD,Processed
PAY-000058,2022-04-18,2022-04,Q2 2022,2022,Payroll,EMP-0004,Operations,Scrum Master,Part-time,121944.9,10162.07,1653.67,2714.8,9100.94,USD,Processed
PAY-000059,2022-05-18,2022-05,Q2 2022,2022,Payroll,EMP-0004,Operations,Scrum Master,Part-time,121944.9,10162.07,1070.55,3016.76,8215.86,USD,Processed
PAY-000060,2022-06-17,2022-06,Q2 2022,2022,Payroll,EMP-0004,Operations,Scrum Master,Full-time,121944.9,10162.07,1162.06,2980.89,8343.24,USD,Processed
PAY-000061,2022-07-17,2022-07,Q3 2022,2022,Payroll,EMP-0004,Operations,Scrum Master,Contract,121944.9,10162.07,502.49,3033.94,7630.62,USD,Processed
PAY-000062,2022-08-16,2022-08,Q3 2022,2022,Payroll,EMP-0004,Operations,Scrum Master,Contract,121944.9,10162.07,696.07,2500.34,8357.8,USD,Processed
PAY-000063,2022-09-15,2022-09,Q3 2022,2022,Payroll,EMP-0004,Operations,Scrum Master,Full-time,121944.9,10162.07,1775.06,2983.89,8953.24,USD,Processed
PAY-000064,2022-03-22,2022-03,Q1 2022,2022,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,1238.96,2233.9,6602.44,USD,Processed
PAY-000065,2022-04-21,2022-04,Q2 2022,2022,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,1088.71,1959.13,6726.96,USD,Processed
PAY-000066,2022-05-21,2022-05,Q2 2022,2022,Payroll,EMP-0005,Operations,Scrum Master,Contract,91168.53,7597.38,1393.03,1697.21,7293.2,USD,Processed
PAY-000067,2022-06-20,2022-06,Q2 2022,2022,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,864.17,1744.23,6717.32,USD,Processed
PAY-000068,2022-07-20,2022-07,Q3 2022,2022,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,222.18,1982.98,5836.58,USD,Processed
PAY-000069,2022-08-19,2022-08,Q3 2022,2022,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,557.8,1685.5,6469.68,USD,Processed
PAY-000070,2022-09-18,2022-09,Q3 2022,2022,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,1478.23,2215.67,6859.94,USD,Processed
PAY-000071,2022-10-18,2022-10,Q4 2022,2022,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,1763.58,2194.22,7166.74,USD,Processed
PAY-000072,2022-11-17,2022-11,Q4 2022,2022,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,581.64,2081.01,6098.01,USD,Processed
PAY-000073,2022-12-17,2022-12,Q4 2022,2022,Payroll,EMP-0005,Operations,Scrum Master,Contract,91168.53,7597.38,289.89,2267.26,5620.01,USD,Processed
PAY-000074,2023-01-16,2023-01,Q1 2023,2023,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,1681.48,2138.58,7140.28,USD,Processed
PAY-000075,2023-02-15,2023-02,Q1 2023,2023,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,731.04,2117.2,6211.22,USD,Processed
PAY-000076,2023-03-17,2023-03,Q1 2023,2023,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,341.82,1984.16,5955.04,USD,Processed
PAY-000077,2023-04-16,2023-04,Q2 2023,2023,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,1215.5,1842.59,6970.29,USD,Processed
PAY-000078,2023-05-16,2023-05,Q2 2023,2023,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,770.57,2116.06,6251.89,USD,Processed
PAY-000079,2023-06-15,2023-06,Q2 2023,2023,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,158.37,1856.28,5899.47,USD,Processed
PAY-000080,2023-07-15,2023-07,Q3 2023,2023,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,1034.67,1882.58,6749.47,USD,Processed
PAY-000081,2023-08-14,2023-08,Q3 2023,2023,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,1896.26,1743.37,7750.27,USD,Processed
PAY-000082,2023-09-13,2023-09,Q3 2023,2023,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,807.64,2230.68,6174.34,USD,Processed
PAY-000083,2023-10-13,2023-10,Q4 2023,2023,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,1368.34,1801.81,7163.91,USD,Processed
PAY-000084,2023-11-12,2023-11,Q4 2023,2023,Payroll,EMP-0005,Operations,Scrum Master,Part-time,91168.53,7597.38,1089.35,1745.82,6940.91,USD,Processed
PAY-000085,2023-12-12,2023-12,Q4 2023,2023,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,1388.41,2111.62,6874.17,USD,Processed
PAY-000086,2024-01-11,2024-01,Q1 2024,2024,Payroll,EMP-0005,Operations,Scrum Master,Full-time,91168.53,7597.38,1725.09,2091.33,7231.14,USD,Processed
PAY-000087,2024-03-26,2024-03,Q1 2024,2024,Payroll,EMP-0006,Sales,VP Sales,Full-time,213893.63,17824.47,1572.29,4979.22,14417.54,USD,Processed
PAY-000088,2024-04-25,2024-04,Q2 2024,2024,Payroll,EMP-0006,Sales,VP Sales,Full-time,213893.63,17824.47,2822.62,4074.23,16572.86,USD,Processed
PAY-000089,2024-05-25,2024-05,Q2 2024,2024,Payroll,EMP-0006,Sales,VP Sales,Full-time,213893.63,17824.47,2381.61,5052.17,15153.91,USD,Processed
PAY-000090,2024-06-24,2024-06,Q2 2024,2024,Payroll,EMP-0006,Sales,VP Sales,Full-time,213893.63,17824.47,1270.35,5227.99,13866.83,USD,Processed
PAY-000091,2024-07-24,2024-07,Q3 2024,2024,Payroll,EMP-0006,Sales,VP Sales,Part-time,213893.63,17824.47,766.22,5147.07,13443.62,USD,Processed
PAY-000092,2024-08-23,2024-08,Q3 2024,2024,Payroll,EMP-0006,Sales,VP Sales,Full-time,213893.63,17824.47,2766.99,5325.38,15266.08,USD,Pending
PAY-000093,2024-09-22,2024-09,Q3 2024,2024,Payroll,EMP-0006,Sales,VP Sales,Full-time,213893.63,17824.47,3800.78,4829.0,16796.25,USD,Processed
PAY-000094,2024-10-22,2024-10,Q4 2024,2024,Payroll,EMP-0006,Sales,VP Sales,Full-time,213893.63,17824.47,3643.73,4830.6,16637.6,USD,Processed
PAY-000095,2024-11-21,2024-11,Q4 2024,2024,Payroll,EMP-0006,Sales,VP Sales,Full-time,213893.63,17824.47,649.41,4118.3,14355.58,USD,Processed
PAY-000096,2024-12-21,2024-12,Q4 2024,2024,Payroll,EMP-0006,Sales,VP Sales,Full-time,213893.63,17824.47,1280.15,5300.92,13803.7,USD,Processed
PAY-000097,2025-01-20,2025-01,Q1 2025,2025,Payroll,EMP-0006,Sales,VP Sales,Full-time,213893.63,17824.47,1035.66,4404.16,14455.97,USD,Processed
PAY-000098,2025-02-19,2025-02,Q1 2025,2025,Payroll,EMP-0006,Sales,VP Sales,Full-time,213893.63,17824.47,1734.91,4122.22,15437.16,USD,Processed
PAY-000099,2025-03-21,2025-03,Q1 2025,2025,Payroll,EMP-0006,Sales,VP Sales,Full-time,213893.63,17824.47,192.77,4023.82,13993.42,USD,Processed
PAY-000100,2025-04-20,2025-04,Q2 2025,2025,Payroll,EMP-0006,Sales,VP Sales,Full-time,213893.63,17824.47,1958.3,4219.8,15562.97,USD,Processed
PAY-000101,2025-05-20,2025-05,Q2 2025,2025,Payroll,EMP-0006,Sales,VP Sales,Contract,213893.63,17824.47,902.74,4552.64,14174.57,USD,Processed
PAY-000102,2024-04-20,2024-04,Q2 2024,2024,Payroll,EMP-0007,Legal,Compliance Officer,Full-time,112967.79,9413.98,1869.62,2387.84,8895.76,USD,Processed
PAY-000103,2024-05-20,2024-05,Q2 2024,2024,Payroll,EMP-0007,Legal,Compliance Officer,Full-time,112967.79,9413.98,965.45,2495.07,7884.36,USD,Processed
PAY-000104,2024-06-19,2024-06,Q2 2024,2024,Payroll,EMP-0007,Legal,Compliance Officer,Full-time,112967.79,9413.98,1738.98,2416.9,8736.06,USD,Processed
PAY-000105,2024-07-19,2024-07,Q3 2024,2024,Payroll,EMP-0007,Legal,Compliance Officer,Full-time,112967.79,9413.98,544.45,2109.19,7849.24,USD,Processed
PAY-000106,2024-08-18,2024-08,Q3 2024,2024,Payroll,EMP-0007,Legal,Compliance Officer,Full-time,112967.79,9413.98,2028.34,2309.68,9132.64,USD,Processed
PAY-000107,2024-09-17,2024-09,Q3 2024,2024,Payroll,EMP-0007,Legal,Compliance Officer,Full-time,112967.79,9413.98,739.0,2791.04,7361.94,USD,Processed
PAY-000108,2024-10-17,2024-10,Q4 2024,2024,Payroll,EMP-0007,Legal,Compliance Officer,Full-time,112967.79,9413.98,1487.71,2635.2,8266.49,USD,Processed
PAY-000109,2024-11-16,2024-11,Q4 2024,2024,Payroll,EMP-0007,Legal,Compliance Officer,Contract,112967.79,9413.98,1428.38,2368.42,8473.94,USD,Processed
PAY-000110,2024-12-16,2024-12,Q4 2024,2024,Payroll,EMP-0007,Legal,Compliance Officer,Contract,112967.79,9413.98,1103.16,2657.83,7859.31,USD,Processed
PAY-000111,2025-01-15,2025-01,Q1 2025,2025,Payroll,EMP-0007,Legal,Compliance Officer,Full-time,112967.79,9413.98,846.28,2071.73,8188.53,USD,Processed
PAY-000112,2025-02-14,2025-02,Q1 2025,2025,Payroll,EMP-0007,Legal,Compliance Officer,Full-time,112967.79,9413.98,172.82,2270.43,7316.37,USD,Processed
PAY-000113,2025-03-16,2025-03,Q1 2025,2025,Payroll,EMP-0007,Legal,Compliance Officer,Full-time,112967.79,9413.98,443.27,2518.69,7338.56,USD,Processed
PAY-000114,2025-04-15,2025-04,Q2 2025,2025,Payroll,EMP-0007,Legal,Compliance Officer,Full-time,112967.79,9413.98,296.35,2568.76,7141.57,USD,Processed
PAY-000115,2025-05-15,2025-05,Q2 2025,2025,Payroll,EMP-0007,Legal,Compliance Officer,Full-time,112967.79,9413.98,926.08,2165.38,8174.68,USD,Processed
PAY-000116,2025-06-14,2025-06,Q2 2025,2025,Payroll,EMP-0007,Legal,Compliance Officer,Full-time,112967.79,9413.98,1587.57,2223.92,8777.63,USD,Processed
PAY-000117,2022-09-25,2022-09,Q3 2022,2022,Payroll,EMP-0008,Marketing,Marketing Manager,Full-time,107480.88,8956.74,1295.76,2152.8,8099.7,USD,Processed
PAY-000118,2022-10-25,2022-10,Q4 2022,2022,Payroll,EMP-0008,Marketing,Marketing Manager,Full-time,107480.88,8956.74,1643.72,2525.92,8074.54,USD,Processed
PAY-000119,2022-11-24,2022-11,Q4 2022,2022,Payroll,EMP-0008,Marketing,Marketing Manager,Full-time,107480.88,8956.74,643.88,2541.68,7058.94,USD,Processed
PAY-000120,2022-12-24,2022-12,Q4 2022,2022,Payroll,EMP-0008,Marketing,Marketing Manager,Contract,107480.88,8956.74,661.67,2280.2,7338.21,USD,Processed
PAY-000121,2023-01-23,2023-01,Q1 2023,2023,Payroll,EMP-0008,Marketing,Marketing Manager,Full-time,107480.88,8956.74,2210.65,2242.99,8924.4,USD,Processed
PAY-000122,2023-02-22,2023-02,Q1 2023,2023,Payroll,EMP-0008,Marketing,Marketing Manager,Full-time,107480.88,8956.74,2031.62,2400.42,8587.94,USD,Processed
PAY-000123,2023-03-24,2023-03,Q1 2023,2023,Payroll,EMP-0008,Marketing,Marketing Manager,Full-time,107480.88,8956.74,1342.01,2222.88,8075.87,USD,Processed
PAY-000124,2023-03-07,2023-03,Q1 2023,2023,Payroll,EMP-0009,Legal,Compliance Officer,Full-time,147441.68,12286.81,1754.26,3288.29,10752.78,USD,Processed
PAY-000125,2023-04-06,2023-04,Q2 2023,2023,Payroll,EMP-0009,Legal,Compliance Officer,Full-time,147441.68,12286.81,617.62,2986.48,9917.95,USD,Processed
PAY-000126,2023-05-06,2023-05,Q2 2023,2023,Payroll,EMP-0009,Legal,Compliance Officer,Contract,147441.68,12286.81,774.45,2912.8,10148.46,USD,Processed
PAY-000127,2023-06-05,2023-06,Q2 2023,2023,Payroll,EMP-0009,Legal,Compliance Officer,Full-time,147441.68,12286.81,1174.52,3050.67,10410.66,USD,Pending
PAY-000128,2023-07-05,2023-07,Q3 2023,2023,Payroll,EMP-0009,Legal,Compliance Officer,Full-time,147441.68,12286.81,490.92,3449.02,9328.71,USD,Processed
PAY-000129,2023-08-04,2023-08,Q3 2023,2023,Payroll,EMP-0009,Legal,Compliance Officer,Full-time,147441.68,12286.81,1378.19,2790.09,10874.91,USD,Processed
PAY-000130,2023-09-03,2023-09,Q3 2023,2023,Payroll,EMP-0009,Legal,Compliance Officer,Contract,147441.68,12286.81,1074.4,2955.6,10405.61,USD,Processed
PAY-000131,2023-10-03,2023-10,Q4 2023,2023,Payroll,EMP-0009,Legal,Compliance Officer,Full-time,147441.68,12286.81,1116.52,3220.8,10182.53,USD,Processed
PAY-000132,2023-11-02,2023-11,Q4 2023,2023,Payroll,EMP-0009,Legal,Compliance Officer,Full-time,147441.68,12286.81,1411.72,3077.65,10620.88,USD,Processed
PAY-000133,2021-02-20,2021-02,Q1 2021,2021,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,1707.61,3548.84,12120.55,USD,Processed
PAY-000134,2021-03-22,2021-03,Q1 2021,2021,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,2650.98,3881.0,12731.76,USD,Processed
PAY-000135,2021-04-21,2021-04,Q2 2021,2021,Payroll,EMP-0010,Engineering,Engineering Manager,Part-time,167541.41,13961.78,2102.08,3779.43,12284.43,USD,Processed
PAY-000136,2021-05-21,2021-05,Q2 2021,2021,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,2212.07,3291.93,12881.92,USD,Processed
PAY-000137,2021-06-20,2021-06,Q2 2021,2021,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,129.42,3365.44,10725.76,USD,Processed
PAY-000138,2021-07-20,2021-07,Q3 2021,2021,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,1216.38,3822.06,11356.1,USD,Processed
PAY-000139,2021-08-19,2021-08,Q3 2021,2021,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,1599.33,3297.99,12263.12,USD,Processed
PAY-000140,2021-09-18,2021-09,Q3 2021,2021,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,662.94,3736.99,10887.73,USD,Processed
PAY-000141,2021-10-18,2021-10,Q4 2021,2021,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,1599.84,3964.42,11597.2,USD,Processed
PAY-000142,2021-11-17,2021-11,Q4 2021,2021,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,1847.51,3303.37,12505.92,USD,Processed
PAY-000143,2021-12-17,2021-12,Q4 2021,2021,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,1330.73,3791.75,11500.76,USD,Processed
PAY-000144,2022-01-16,2022-01,Q1 2022,2022,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,1548.54,4138.93,11371.39,USD,Pending
PAY-000145,2022-02-15,2022-02,Q1 2022,2022,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,1674.06,3864.48,11771.36,USD,Processed
PAY-000146,2022-03-17,2022-03,Q1 2022,2022,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,3063.09,3804.27,13220.6,USD,Processed
PAY-000147,2022-04-16,2022-04,Q2 2022,2022,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,2594.69,3364.67,13191.8,USD,Processed
PAY-000148,2022-05-16,2022-05,Q2 2022,2022,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,1579.43,3950.56,11590.65,USD,Processed
PAY-000149,2022-06-15,2022-06,Q2 2022,2022,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,2706.05,3326.92,13340.91,USD,Processed
PAY-000150,2022-07-15,2022-07,Q3 2022,2022,Payroll,EMP-0010,Engineering,Engineering Manager,Full-time,167541.41,13961.78,466.16,3313.14,11114.8,USD,Processed
PAY-000151,2024-10-24,2024-10,Q4 2024,2024,Payroll,EMP-0011,Marketing,Content Specialist,Full-time,67899.38,5658.28,300.56,1547.63,4411.21,USD,Processed
PAY-000152,2024-11-23,2024-11,Q4 2024,2024,Payroll,EMP-0011,Marketing,Content Specialist,Full-time,67899.38,5658.28,196.71,1400.68,4454.31,USD,Processed
PAY-000153,2024-12-23,2024-12,Q4 2024,2024,Payroll,EMP-0011,Marketing,Content Specialist,Full-time,67899.38,5658.28,162.33,1505.59,4315.02,USD,Processed
PAY-000154,2025-01-22,2025-01,Q1 2025,2025,Payroll,EMP-0011,Marketing,Content Specialist,Full-time,67899.38,5658.28,616.81,1347.3,4927.79,USD,Processed
PAY-000155,2025-02-21,2025-02,Q1 2025,2025,Payroll,EMP-0011,Marketing,Content Specialist,Full-time,67899.38,5658.28,456.91,1438.87,4676.32,USD,Processed
PAY-000156,2025-03-23,2025-03,Q1 2025,2025,Payroll,EMP-0011,Marketing,Content Specialist,Full-time,67899.38,5658.28,347.71,1689.07,4316.92,USD,Processed
