budget_id,period,quarter,year,department,category,budget_amount,actual_amount,variance,variance_pct,status,approved_by,notes
BVA-000017,2020-01,Q1 2020,2020,Marketing,Revenue,261432.31,319224.39,57792.08,22.11,Over Budget,MGR-08,Revenue — Marketing — Jan 2020
BVA-000018,2020-01,Q1 2020,2020,Marketing,COGS,401745.86,462891.09,61145.23,15.22,Over Budget,MGR-14,COGS — Marketing — Jan 2020
BVA-000019,2020-01,Q1 2020,2020,Marketing,Sales & Mkt,495674.69,442043.77,-53630.92,-10.82,Under Budget,MGR-09,Sales & Mkt — Marketing — Jan 2020
BVA-000020,2020-01,Q1 2020,2020,Marketing,R&D,560064.99,550783.93,-9281.06,-1.66,Under Budget,MGR-04,R&D — Marketing — Jan 2020
BVA-000021,2020-01,Q1 2020,2020,Marketing,G&A,445621.0,483188.49,37567.49,8.43,Over Budget,MGR-08,G&A — Marketing — Jan 2020
BVA-000022,2020-01,Q1 2020,2020,Marketing,Payroll,206965.06,190438.61,-16526.45,-7.99,Under Budget,MGR-03,Payroll — Marketing — Jan 2020
BVA-000023,2020-01,Q1 2020,2020,Marketing,CapEx,174777.83,199936.4,25158.57,14.39,Over Budget,MGR-15,CapEx — Marketing — Jan 2020
BVA-000024,2020-01,Q1 2020,2020,Marketing,Tax,339605.99,358427.86,18821.87,5.54,Over Budget,MGR-03,Tax — Marketing — Jan 2020
BVA-000025,2020-01,Q1 2020,2020,Finance,Revenue,141406.33,185908.19,44501.86,31.47,Over Budget,MGR-12,Revenue — Finance — Jan 2020
BVA-000026,2020-01,Q1 2020,2020,Finance,COGS,124565.05,128319.48,3754.43,3.01,Over Budget,MGR-01,COGS — Finance — Jan 2020
BVA-000027,2020-01,Q1 2020,2020,Finance,Sales & Mkt,243599.26,216867.17,-26732.09,-10.97,Under Budget,MGR-15,Sales & Mkt — Finance — Jan 2020
BVA-000028,2020-01,Q1 2020,2020,Finance,R&D,270205.42,214549.97,-55655.45,-20.6,Under Budget,MGR-08,R&D — Finance — Jan 2020
BVA-000029,2020-01,Q1 2020,2020,Finance,G&A,352178.43,363485.9,11307.47,3.21,Over Budget,MGR-02,G&A — Finance — Jan 2020
BVA-000030,2020-01,Q1 2020,2020,Finance,Payroll,295600.36,271641.9,-23958.46,-8.11,Under Budget,MGR-14,Payroll — Finance — Jan 2020
BVA-000031,2020-01,Q1 2020,2020,Finance,CapEx,523766.09,509905.09,-13861.0,-2.65,Under Budget,MGR-06,CapEx — Finance — Jan 2020
BVA-000032,2020-01,Q1 2020,2020,Finance,Tax,33381.73,32697.67,-684.06,-2.05,Under Budget,MGR-09,Tax — Finance — Jan 2020
BVA-000033,2020-01,Q1 2020,2020,Operations,Revenue,531800.6,612958.0,81157.4,15.26,Over Budget,MGR-11,Revenue — Operations — Jan 2020
BVA-000034,2020-01,Q1 2020,2020,Operations,COGS,549453.95,677363.56,127909.61,23.28,Over Budget,MGR-14,COGS — Operations — Jan 2020
BVA-000035,2020-01,Q1 2020,2020,Operations,Sales & Mkt,474926.95,634281.31,159354.36,33.55,Over Budget,MGR-01,Sales & Mkt — Operations — Jan 2020
BVA-000036,2020-01,Q1 2020,2020,Operations,R&D,424294.47,360103.29,-64191.18,-15.13,Under Budget,MGR-07,R&D — Operations — Jan 2020
BVA-000037,2020-01,Q1 2020,2020,Operations,G&A,239708.77,183810.65,-55898.12,-23.32,Under Budget,MGR-02,G&A — Operations — Jan 2020
BVA-000038,2020-01,Q1 2020,2020,Operations,Payroll,212700.53,271270.32,58569.79,27.54,Over Budget,MGR-10,Payroll — Operations — Jan 2020
BVA-000039,2020-01,Q1 2020,2020,Operations,CapEx,317699.43,400576.45,82877.02,26.09,Over Budget,MGR-14,CapEx — Operations — Jan 2020
BVA-000040,2020-01,Q1 2020,2020,Operations,Tax,499259.02,620894.15,121635.13,24.36,Over Budget,MGR-14,Tax — Operations — Jan 2020
BVA-000041,2020-01,Q1 2020,2020,HR,Revenue,353117.3,436820.61,83703.31,23.7,Over Budget,MGR-03,Revenue — HR — Jan 2020
BVA-000042,2020-01,Q1 2020,2020,HR,COGS,147367.34,142196.31,-5171.03,-3.51,Under Budget,MGR-08,COGS — HR — Jan 2020
BVA-000043,2020-01,Q1 2020,2020,HR,Sales & Mkt,27108.06,31798.24,4690.18,17.3,Over Budget,MGR-07,Sales & Mkt — HR — Jan 2020
BVA-000044,2020-01,Q1 2020,2020,HR,R&D,551651.38,504614.19,-47037.19,-8.53,Under Budget,MGR-05,R&D — HR — Jan 2020
BVA-000045,2020-01,Q1 2020,2020,HR,G&A,300762.05,330744.17,29982.12,9.97,Over Budget,MGR-01,G&A — HR — Jan 2020
BVA-000046,2020-01,Q1 2020,2020,HR,Payroll,375868.28,496162.62,120294.34,32.0,Over Budget,MGR-09,Payroll — HR — Jan 2020
BVA-000047,2020-01,Q1 2020,2020,HR,CapEx,599063.39,676117.71,77054.32,12.86,Over Budget,MGR-08,CapEx — HR — Jan 2020
BVA-000048,2020-01,Q1 2020,2020,HR,Tax,431017.18,487300.14,56282.96,13.06,Over Budget,MGR-12,Tax — HR — Jan 2020
BVA-000049,2020-01,Q1 2020,2020,Support,Revenue,198579.93,183242.92,-15337.01,-7.72,Under Budget,MGR-12,Revenue — Support — Jan 2020
BVA-000050,2020-01,Q1 2020,2020,Support,COGS,294779.45,284928.74,-9850.71,-3.34,Under Budget,MGR-03,COGS — Support — Jan 2020
BVA-000051,2020-01,Q1 2020,2020,Support,Sales & Mkt,188909.45,223396.36,34486.91,18.26,Over Budget,MGR-11,Sales & Mkt — Support — Jan 2020
BVA-000052,2020-01,Q1 2020,2020,Support,R&D,420560.11,329612.76,-90947.35,-21.63,Under Budget,MGR-14,R&D — Support — Jan 2020
BVA-000053,2020-01,Q1 2020,2020,Support,G&A,408897.22,473598.0,64700.78,15.82,Over Budget,MGR-13,G&A — Support — Jan 2020
BVA-000054,2020-01,Q1 2020,2020,Support,Payroll,190067.33,194201.84,4134.51,2.18,Over Budget,MGR-03,Payroll — Support — Jan 2020
BVA-000055,2020-01,Q1 2020,2020,Support,CapEx,489565.43,452254.78,-37310.65,-7.62,Under Budget,MGR-10,CapEx — Support — Jan 2020
BVA-000056,2020-01,Q1 2020,2020,Support,Tax,562788.18,598797.19,36009.01,6.4,Over Budget,MGR-06,Tax — Support — Jan 2020
BVA-000057,2020-01,Q1 2020,2020,Legal,Revenue,260741.37,332489.58,71748.21,27.52,Over Budget,MGR-14,Revenue — Legal — Jan 2020
BVA-000058,2020-01,Q1 2020,2020,Legal,COGS,121384.46,161286.73,39902.27,32.87,Over Budget,MGR-15,COGS — Legal — Jan 2020
BVA-000059,2020-01,Q1 2020,2020,Legal,Sales & Mkt,217836.43,181417.89,-36418.54,-16.72,Under Budget,MGR-04,Sales & Mkt — Legal — Jan 2020
BVA-000060,2020-01,Q1 2020,2020,Legal,R&D,182776.05,235119.16,52343.11,28.64,Over Budget,MGR-11,R&D — Legal — Jan 2020
BVA-000061,2020-01,Q1 2020,2020,Legal,G&A,88694.62,117929.03,29234.41,32.96,Over Budget,MGR-11,G&A — Legal — Jan 2020
BVA-000062,2020-01,Q1 2020,2020,Legal,Payroll,382849.96,280766.01,-102083.95,-26.66,Under Budget,MGR-08,Payroll — Legal — Jan 2020
BVA-000063,2020-01,Q1 2020,2020,Legal,CapEx,465321.57,600103.4,134781.83,28.97,Over Budget,MGR-12,CapEx — Legal — Jan 2020
BVA-000064,2020-01,Q1 2020,2020,Legal,Tax,222508.67,226184.8,3676.13,1.65,Over Budget,MGR-07,Tax — Legal — Jan 2020
BVA-000065,2020-02,Q1 2020,2020,Sales,Revenue,328481.38,395031.72,66550.34,20.26,Over Budget,MGR-15,Revenue — Sales — Feb 2020
BVA-000066,2020-02,Q1 2020,2020,Sales,COGS,275052.03,335863.79,60811.76,22.11,Over Budget,MGR-06,COGS — Sales — Feb 2020
BVA-000067,2020-02,Q1 2020,2020,Sales,Sales & Mkt,237507.04,242427.38,4920.34,2.07,Over Budget,MGR-05,Sales & Mkt — Sales — Feb 2020
BVA-000068,2020-02,Q1 2020,2020,Sales,R&D,393717.27,432316.61,38599.34,9.8,Over Budget,MGR-15,R&D — Sales — Feb 2020
BVA-000069,2020-02,Q1 2020,2020,Sales,G&A,563300.65,703610.56,140309.91,24.91,Over Budget,MGR-04,G&A — Sales — Feb 2020
BVA-000070,2020-02,Q1 2020,2020,Sales,Payroll,499637.41,471401.23,-28236.18,-5.65,Under Budget,MGR-08,Payroll — Sales — Feb 2020
BVA-000071,2020-02,Q1 2020,2020,Sales,CapEx,252031.72,181113.06,-70918.66,-28.14,Under Budget,MGR-10,CapEx — Sales — Feb 2020
BVA-000072,2020-02,Q1 2020,2020,Sales,Tax,59351.6,72545.29,13193.69,22.23,Over Budget,MGR-06,Tax — Sales — Feb 2020
BVA-000073,2020-02,Q1 2020,2020,Engineering,Revenue,40765.82,30848.96,-9916.86,-24.33,Under Budget,MGR-12,Revenue — Engineering — Feb 2020
BVA-000074,2020-02,Q1 2020,2020,Engineering,COGS,83240.59,80015.52,-3225.07,-3.87,Under Budget,MGR-02,COGS — Engineering — Feb 2020
BVA-000075,2020-02,Q1 2020,2020,Engineering,Sales & Mkt,339455.76,255982.3,-83473.46,-24.59,Under Budget,MGR-13,Sales & Mkt — Engineering — Feb 2020
BVA-000076,2020-02,Q1 2020,2020,Engineering,R&D,368959.0,348987.41,-19971.59,-5.41,Under Budget,MGR-04,R&D — Engineering — Feb 2020
BVA-000077,2020-02,Q1 2020,2020,Engineering,G&A,221317.87,204596.06,-16721.81,-7.56,Under Budget,MGR-04,G&A — Engineering — Feb 2020
BVA-000078,2020-02,Q1 2020,2020,Engineering,Payroll,567023.25,711342.16,144318.91,25.45,Over Budget,MGR-01,Payroll — Engineering — Feb 2020
BVA-000079,2020-02,Q1 2020,2020,Engineering,CapEx,145153.33,113053.79,-32099.54,-22.11,Under Budget,MGR-10,CapEx — Engineering — Feb 2020
BVA-000080,2020-02,Q1 2020,2020,Engineering,Tax,124436.35,156268.17,31831.82,25.58,Over Budget,MGR-10,Tax — Engineering — Feb 2020
BVA-000081,2020-02,Q1 2020,2020,Marketing,Revenue,191311.06,256790.33,65479.27,34.23,Over Budget,MGR-11,Revenue — Marketing — Feb 2020
BVA-000082,2020-02,Q1 2020,2020,Marketing,COGS,83168.82,107668.35,24499.53,29.46,Over Budget,MGR-15,COGS — Marketing — Feb 2020
BVA-000083,2020-02,Q1 2020,2020,Marketing,Sales & Mkt,387254.35,367713.62,-19540.73,-5.05,Under Budget,MGR-05,Sales & Mkt — Marketing — Feb 2020
BVA-000084,2020-02,Q1 2020,2020,Marketing,R&D,290039.38,308621.86,18582.48,6.41,Over Budget,MGR-09,R&D — Marketing — Feb 2020
BVA-000085,2020-02,Q1 2020,2020,Marketing,G&A,46112.51,32695.79,-13416.72,-29.1,Under Budget,MGR-13,G&A — Marketing — Feb 2020
BVA-000086,2020-02,Q1 2020,2020,Marketing,Payroll,99081.62,100151.34,1069.72,1.08,Over Budget,MGR-08,Payroll — Marketing — Feb 2020
BVA-000087,2020-02,Q1 2020,2020,Marketing,CapEx,520607.67,409298.53,-111309.14,-21.38,Under Budget,MGR-05,CapEx — Marketing — Feb 2020
BVA-000088,2020-02,Q1 2020,2020,Marketing,Tax,99927.66,98563.98,-1363.68,-1.36,Under Budget,MGR-11,Tax — Marketing — Feb 2020
BVA-000089,2020-02,Q1 2020,2020,Finance,Revenue,571311.02,548152.96,-23158.06,-4.05,Under Budget,MGR-13,Revenue — Finance — Feb 2020
BVA-000090,2020-02,Q1 2020,2020,Finance,COGS,326751.64,336707.01,9955.37,3.05,Over Budget,MGR-14,COGS — Finance — Feb 2020
BVA-000091,2020-02,Q1 2020,2020,Finance,Sales & Mkt,375501.31,334798.17,-40703.14,-10.84,Under Budget,MGR-08,Sales & Mkt — Finance — Feb 2020
BVA-000092,2020-02,Q1 2020,2020,Finance,R&D,511898.21,657630.44,145732.23,28.47,Over Budget,MGR-01,R&D — Finance — Feb 2020
BVA-000093,2020-02,Q1 2020,2020,Finance,G&A,155277.9,167637.14,12359.24,7.96,Over Budget,MGR-03,G&A — Finance — Feb 2020
BVA-000094,2020-02,Q1 2020,2020,Finance,Payroll,120562.07,154182.62,33620.55,27.89,Over Budget,MGR-10,Payroll — Finance — Feb 2020
BVA-000095,2020-02,Q1 2020,2020,Finance,CapEx,417698.06,543775.48,126077.42,30.18,Over Budget,MGR-08,CapEx — Finance — Feb 2020
BVA-000096,2020-02,Q1 2020,2020,Finance,Tax,453613.96,538850.03,85236.07,18.79,Over Budget,MGR-07,Tax — Finance — Feb 2020
BVA-000097,2020-02,Q1 2020,2020,Operations,Revenue,237274.55,171823.82,-65450.73,-27.58,Under Budget,MGR-07,Revenue — Operations — Feb 2020
BVA-000098,2020-02,Q1 2020,2020,Operations,COGS,525919.18,538613.97,12694.79,2.41,Over Budget,MGR-13,COGS — Operations — Feb 2020
BVA-000099,2020-02,Q1 2020,2020,Operations,Sales & Mkt,176323.29,156044.74,-20278.55,-11.5,Under Budget,MGR-05,Sales & Mkt — Operations — Feb 2020
BVA-000100,2020-02,Q1 2020,2020,Operations,R&D,161237.88,209084.34,47846.46,29.67,Over Budget,MGR-08,R&D — Operations — Feb 2020
BVA-000101,2020-02,Q1 2020,2020,Operations,G&A,187669.45,231108.71,43439.26,23.15,Over Budget,MGR-04,G&A — Operations — Feb 2020
BVA-000102,2020-02,Q1 2020,2020,Operations,Payroll,476677.62,514098.97,37421.35,7.85,Over Budget,MGR-05,Payroll — Operations — Feb 2020
BVA-000103,2020-02,Q1 2020,2020,Operations,CapEx,274490.12,268257.86,-6232.26,-2.27,Under Budget,MGR-14,CapEx — Operations — Feb 2020
BVA-000104,2020-02,Q1 2020,2020,Operations,Tax,87667.97,109743.58,22075.61,25.18,Over Budget,MGR-15,Tax — Operations — Feb 2020
BVA-000105,2020-02,Q1 2020,2020,HR,Revenue,348458.94,448674.06,100215.12,28.76,Over Budget,MGR-06,Revenue — HR — Feb 2020
BVA-000106,2020-02,Q1 2020,2020,HR,COGS,544184.56,691286.55,147101.99,27.03,Over Budget,MGR-10,COGS — HR — Feb 2020
BVA-000107,2020-02,Q1 2020,2020,HR,Sales & Mkt,515069.38,509446.87,-5622.51,-1.09,Under Budget,MGR-13,Sales & Mkt — HR — Feb 2020
BVA-000108,2020-02,Q1 2020,2020,HR,R&D,172207.43,227405.94,55198.51,32.05,Over Budget,MGR-03,R&D — HR — Feb 2020
BVA-000109,2020-02,Q1 2020,2020,HR,G&A,567678.48,597200.41,29521.93,5.2,Over Budget,MGR-11,G&A — HR — Feb 2020
BVA-000110,2020-02,Q1 2020,2020,HR,Payroll,266239.25,262946.31,-3292.94,-1.24,Under Budget,MGR-03,Payroll — HR — Feb 2020
BVA-000111,2020-02,Q1 2020,2020,HR,CapEx,485527.42,603191.29,117663.87,24.23,Over Budget,MGR-10,CapEx — HR — Feb 2020
BVA-000112,2020-02,Q1 2020,2020,HR,Tax,204555.91,252743.76,48187.85,23.56,Over Budget,MGR-02,Tax — HR — Feb 2020
BVA-000113,2020-02,Q1 2020,2020,Support,Revenue,296915.04,344739.24,47824.2,16.11,Over Budget,MGR-02,Revenue — Support — Feb 2020
BVA-000114,2020-02,Q1 2020,2020,Support,COGS,584635.95,457188.38,-127447.57,-21.8,Under Budget,MGR-10,COGS — Support — Feb 2020
BVA-000115,2020-02,Q1 2020,2020,Support,Sales & Mkt,55520.08,65905.73,10385.65,18.71,Over Budget,MGR-11,Sales & Mkt — Support — Feb 2020
BVA-000116,2020-02,Q1 2020,2020,Support,R&D,435626.9,457168.75,21541.85,4.95,Over Budget,MGR-15,R&D — Support — Feb 2020
BVA-000117,2020-02,Q1 2020,2020,Support,G&A,289885.09,386322.39,96437.3,33.27,Over Budget,MGR-03,G&A — Support — Feb 2020
BVA-000118,2020-02,Q1 2020,2020,Support,Payroll,185328.39,228413.76,43085.37,23.25,Over Budget,MGR-10,Payroll — Support — Feb 2020
BVA-000119,2020-02,Q1 2020,2020,Support,CapEx,512643.87,448543.45,-64100.42,-12.5,Under Budget,MGR-08,CapEx — Support — Feb 2020
BVA-000120,2020-02,Q1 2020,2020,Support,Tax,334856.69,346349.11,11492.42,3.43,Over Budget,MGR-04,Tax — Support — Feb 2020
BVA-000121,2020-02,Q1 2020,2020,Legal,Revenue,105742.05,124591.76,18849.71,17.83,Over Budget,MGR-06,Revenue — Legal — Feb 2020
BVA-000122,2020-02,Q1 2020,2020,Legal,COGS,92098.29,115972.92,23874.63,25.92,Over Budget,MGR-01,COGS — Legal — Feb 2020
BVA-000123,2020-02,Q1 2020,2020,Legal,Sales & Mkt,278325.84,289355.02,11029.18,3.96,Over Budget,MGR-01,Sales & Mkt — Legal — Feb 2020
BVA-000124,2020-02,Q1 2020,2020,Legal,R&D,357611.46,327170.56,-30440.9,-8.51,Under Budget,MGR-11,R&D — Legal — Feb 2020
BVA-000125,2020-02,Q1 2020,2020,Legal,G&A,52559.48,67354.69,14795.21,28.15,Over Budget,MGR-06,G&A — Legal — Feb 2020
BVA-000126,2020-02,Q1 2020,2020,Legal,Payroll,211092.65,167734.95,-43357.7,-20.54,Under Budget,MGR-12,Payroll — Legal — Feb 2020
BVA-000127,2020-02,Q1 2020,2020,Legal,CapEx,112806.18,149916.63,37110.45,32.9,Over Budget,MGR-06,CapEx — Legal — Feb 2020
BVA-000128,2020-02,Q1 2020,2020,Legal,Tax,24729.03,19075.66,-5653.37,-22.86,Under Budget,MGR-06,Tax — Legal — Feb 2020
BVA-000129,2020-03,Q1 2020,2020,Sales,Revenue,226562.76,219032.24,-7530.52,-3.32,Under Budget,MGR-04,Revenue — Sales — Mar 2020
BVA-000130,2020-03,Q1 2020,2020,Sales,COGS,240169.57,244881.61,4712.04,1.96,Over Budget,MGR-05,COGS — Sales — Mar 2020
BVA-000131,2020-03,Q1 2020,2020,Sales,Sales & Mkt,411932.04,446173.03,34240.99,8.31,Over Budget,MGR-07,Sales & Mkt — Sales — Mar 2020
BVA-000132,2020-03,Q1 2020,2020,Sales,R&D,531934.96,434652.69,-97282.27,-18.29,Under Budget,MGR-03,R&D — Sales — Mar 2020
BVA-000133,2020-03,Q1 2020,2020,Sales,G&A,589184.59,478723.57,-110461.02,-18.75,Under Budget,MGR-02,G&A — Sales — Mar 2020
BVA-000134,2020-03,Q1 2020,2020,Sales,Payroll,377444.86,285141.02,-92303.84,-24.45,Under Budget,MGR-07,Payroll — Sales — Mar 2020
BVA-000135,2020-03,Q1 2020,2020,Sales,CapEx,58772.3,67926.55,9154.25,15.58,Over Budget,MGR-15,CapEx — Sales — Mar 2020
BVA-000136,2020-03,Q1 2020,2020,Sales,Tax,253658.98,218799.12,-34859.86,-13.74,Under Budget,MGR-06,Tax — Sales — Mar 2020
BVA-000137,2020-03,Q1 2020,2020,Engineering,Revenue,305929.62,399530.6,93600.98,30.6,Over Budget,MGR-11,Revenue — Engineering — Mar 2020
BVA-000138,2020-03,Q1 2020,2020,Engineering,COGS,104039.6,108372.45,4332.85,4.16,Over Budget,MGR-13,COGS — Engineering — Mar 2020
BVA-000139,2020-03,Q1 2020,2020,Engineering,Sales & Mkt,139251.11,125634.65,-13616.46,-9.78,Under Budget,MGR-14,Sales & Mkt — Engineering — Mar 2020
BVA-000140,2020-03,Q1 2020,2020,Engineering,R&D,305635.83,220374.03,-85261.8,-27.9,Under Budget,MGR-05,R&D — Engineering — Mar 2020
BVA-000141,2020-03,Q1 2020,2020,Engineering,G&A,225912.14,221138.62,-4773.52,-2.11,Under Budget,MGR-15,G&A — Engineering — Mar 2020
BVA-000142,2020-03,Q1 2020,2020,Engineering,Payroll,28189.29,21233.27,-6956.02,-24.68,Under Budget,MGR-12,Payroll — Engineering — Mar 2020
BVA-000143,2020-03,Q1 2020,2020,Engineering,CapEx,443173.39,489493.42,46320.03,10.45,Over Budget,MGR-04,CapEx — Engineering — Mar 2020
BVA-000144,2020-03,Q1 2020,2020,Engineering,Tax,417210.16,472678.98,55468.82,13.3,Over Budget,MGR-14,Tax — Engineering — Mar 2020
BVA-000145,2020-03,Q1 2020,2020,Marketing,Revenue,351910.94,303098.4,-48812.54,-13.87,Under Budget,MGR-13,Revenue — Marketing — Mar 2020
BVA-000146,2020-03,Q1 2020,2020,Marketing,COGS,492370.23,494983.18,2612.95,0.53,Over Budget,MGR-01,COGS — Marketing — Mar 2020
BVA-000147,2020-03,Q1 2020,2020,Marketing,Sales & Mkt,303108.53,303070.73,-37.8,-0.01,Under Budget,MGR-10,Sales & Mkt — Marketing — Mar 2020
BVA-000148,2020-03,Q1 2020,2020,Marketing,R&D,540031.32,618371.23,78339.91,14.51,Over Budget,MGR-06,R&D — Marketing — Mar 2020
BVA-000149,2020-03,Q1 2020,2020,Marketing,G&A,93708.56,125018.09,31309.53,33.41,Over Budget,MGR-04,G&A — Marketing — Mar 2020
BVA-000150,2020-03,Q1 2020,2020,Marketing,Payroll,51726.64,67897.64,16171.0,31.26,Over Budget,MGR-06,Payroll — Marketing — Mar 2020
BVA-000151,2020-03,Q1 2020,2020,Marketing,CapEx,495008.7,524119.66,29110.96,5.88,Over Budget,MGR-15,CapEx — Marketing — Mar 2020
BVA-000152,2020-03,Q1 2020,2020,Marketing,Tax,306871.54,404666.2,97794.66,31.87,Over Budget,MGR-04,Tax — Marketing — Mar 2020
BVA-000153,2020-03,Q1 2020,2020,Finance,Revenue,63472.69,54318.93,-9153.76,-14.42,Under Budget,MGR-04,Revenue — Finance — Mar 2020
BVA-000154,2020-03,Q1 2020,2020,Finance,COGS,393340.74,336714.51,-56626.23,-14.4,Under Budget,MGR-07,COGS — Finance — Mar 2020
BVA-000155,2020-03,Q1 2020,2020,Finance,Sales & Mkt,152354.6,154282.36,1927.76,1.27,Over Budget,MGR-03,Sales & Mkt — Finance — Mar 2020
BVA-000156,2020-03,Q1 2020,2020,Finance,R&D,158663.03,177302.05,18639.02,11.75,Over Budget,MGR-10,R&D — Finance — Mar 2020
BVA-000157,2020-03,Q1 2020,2020,Finance,G&A,492394.1,567178.23,74784.13,15.19,Over Budget,MGR-03,G&A — Finance — Mar 2020
BVA-000158,2020-03,Q1 2020,2020,Finance,Payroll,373408.92,407794.91,34385.99,9.21,Over Budget,MGR-06,Payroll — Finance — Mar 2020
BVA-000159,2020-03,Q1 2020,2020,Finance,CapEx,523981.49,700179.55,176198.06,33.63,Over Budget,MGR-11,CapEx — Finance — Mar 2020
BVA-000160,2020-03,Q1 2020,2020,Finance,Tax,147870.1,115587.43,-32282.67,-21.83,Under Budget,MGR-02,Tax — Finance — Mar 2020
BVA-000161,2020-03,Q1 2020,2020,Operations,Revenue,258745.08,302863.9,44118.82,17.05,Over Budget,MGR-02,Revenue — Operations — Mar 2020
BVA-000162,2020-03,Q1 2020,2020,Operations,COGS,49155.79,37612.15,-11543.64,-23.48,Under Budget,MGR-07,COGS — Operations — Mar 2020
BVA-000163,2020-03,Q1 2020,2020,Operations,Sales & Mkt,590823.73,571886.06,-18937.67,-3.21,Under Budget,MGR-05,Sales & Mkt — Operations — Mar 2020
BVA-000164,2020-03,Q1 2020,2020,Operations,R&D,387035.19,285909.4,-101125.79,-26.13,Under Budget,MGR-04,R&D — Operations — Mar 2020
BVA-000165,2020-03,Q1 2020,2020,Operations,G&A,39949.95,49649.66,9699.71,24.28,Over Budget,MGR-07,G&A — Operations — Mar 2020
BVA-000166,2020-03,Q1 2020,2020,Operations,Payroll,521276.68,637248.05,115971.37,22.25,Over Budget,MGR-13,Payroll — Operations — Mar 2020
BVA-000167,2020-03,Q1 2020,2020,Operations,CapEx,269257.29,256348.63,-12908.66,-4.79,Under Budget,MGR-09,CapEx — Operations — Mar 2020
BVA-000168,2020-03,Q1 2020,2020,Operations,Tax,406305.39,449279.8,42974.41,10.58,Over Budget,MGR-14,Tax — Operations — Mar 2020
BVA-000169,2020-03,Q1 2020,2020,HR,Revenue,353858.23,299622.64,-54235.59,-15.33,Under Budget,MGR-07,Revenue — HR — Mar 2020
BVA-000170,2020-03,Q1 2020,2020,HR,COGS,166009.61,212719.28,46709.67,28.14,Over Budget,MGR-02,COGS — HR — Mar 2020
BVA-000171,2020-03,Q1 2020,2020,HR,Sales & Mkt,156255.27,172113.04,15857.77,10.15,Over Budget,MGR-12,Sales & Mkt — HR — Mar 2020
BVA-000172,2020-03,Q1 2020,2020,HR,R&D,306867.11,342803.63,35936.52,11.71,Over Budget,MGR-07,R&D — HR — Mar 2020
BVA-000173,2020-03,Q1 2020,2020,HR,G&A,101423.25,115620.4,14197.15,14.0,Over Budget,MGR-06,G&A — HR — Mar 2020
BVA-000174,2020-03,Q1 2020,2020,HR,Payroll,369995.88,321663.47,-48332.41,-13.06,Under Budget,MGR-04,Payroll — HR — Mar 2020
BVA-000175,2020-03,Q1 2020,2020,HR,CapEx,318959.98,242691.8,-76268.18,-23.91,Under Budget,MGR-10,CapEx — HR — Mar 2020
BVA-000176,2020-03,Q1 2020,2020,HR,Tax,482761.18,569087.67,86326.49,17.88,Over Budget,MGR-08,Tax — HR — Mar 2020
